Symbol,Date,Open,High,Low,Close,Volume
GASF,20190307,7.71,7.71,7.70,7.70,21000
HGFA,20190307,9.40,9.60,9.40,9.45,25000
HIFA,20190307,4.00,4.00,4.00,4.00,5000
FANM,20190307,3.90,3.94,3.75,3.94,50500
ARM,20190307,13.05,13.05,13.01,13.01,5000
BRR,20190307,7.70,7.94,7.68,7.83,15000
FECM,20190307,2.47,2.47,2.34,2.40,2500
FEM,20190307,3.20,3.97,3.20,3.97,5000
ORIXM,20190307,0.00,16.52,16.52,16.90,3000
FHAM,20190307,10.21,10.21,10.21,10.21,1000
FTMM,20190307,12.12,12.12,12.10,12.10,2000
MODAM,20190307,3.41,3.82,3.41,3.82,1000
ORM,20190307,9.02,9.02,9.02,9.02,500
FNBM,20190307,1.33,1.33,1.33,1.33,5500
PMI,20190307,1.35,1.35,1.34,1.34,11000
FPJM,20190307,4.25,4.25,3.51,3.67,4000
FUDLM,20190307,10.00,10.30,9.60,9.75,11000
GRYL,20190307,3.12,4.04,3.12,3.16,3000
OLPL,20190307,25.95,25.95,24.52,24.93,73000
SLL,20190307,2.50,2.50,2.31,2.31,1500
SLCL,20190307,5.60,5.99,5.60,5.99,13000
MCBAH,20190307,24.01,24.01,24.01,24.01,500
AHL,20190307,40.99,41.00,40.69,40.95,5000
AHCL,20190307,28.89,28.89,28.42,28.42,1500
ICIBL,20190307,1.25,1.28,1.20,1.20,493000
FDIBL,20190307,2.36,2.36,2.19,2.23,181000
JSCL,20190307,12.65,13.00,12.61,12.70,13000
NEXT,20190307,7.10,7.35,7.10,7.35,5500
AMBL,20190307,8.51,8.51,8.51,8.51,1000
ESBL,20190307,16.75,16.75,16.75,16.75,4000
PSX,20190307,17.21,17.21,17.21,17.21,211500
FCSC,20190307,1.60,1.60,1.47,1.51,173000
EFGH,20190307,17.44,17.45,17.44,17.45,1000
FNEL,20190307,5.30,5.30,5.30,5.30,8500
786,20190307,25.95,26.05,25.95,26.00,127500
DEL,20190307,3.00,3.00,2.90,2.90,1500
PASL,20190307,0.88,0.88,0.83,0.87,432000
TSBL,20190307,6.62,7.10,6.60,6.60,7500
ABL,20190307,110.50,111.48,110.00,110.05,30100
SMBL,20190307,0.76,0.79,0.76,0.78,64000
AKBL,20190307,22.00,22.00,21.42,21.58,132500
BAFL,20190307,48.02,48.10,47.73,47.77,81500
BIPL,20190307,11.25,11.90,11.25,11.50,15000
BOK,20190307,12.07,12.48,12.06,12.33,6000
BAHL,20190307,86.76,86.76,84.51,84.99,269500
BOP,20190307,14.10,14.15,13.79,13.84,8511000
FABL,20190307,23.17,23.50,22.55,23.00,993000
HBL,20190307,137.80,138.00,136.05,136.56,929900
MEBL,20190307,100.17,102.00,99.00,100.94,38000
NBP,20190307,43.25,43.39,42.10,42.43,744500
HMB,20190307,40.52,40.80,39.85,40.53,257000
MCB,20190307,201.50,202.87,200.00,200.26,371700
JSBL,20190307,5.94,5.95,5.88,5.90,275000
SBL,20190307,6.00,6.00,6.00,6.00,3000
SILK,20190307,1.08,1.08,1.04,1.05,1967000
SNBL,20190307,12.60,12.60,12.50,12.60,17500
SCBPL,20190307,24.00,24.89,24.00,24.70,20500
UBL,20190307,140.25,140.90,137.50,138.15,530400
CSIL,20190307,2.30,2.30,2.08,2.10,141000
EFUG,20190307,108.85,110.00,108.85,110.00,18900
EFUL,20190307,207.90,207.90,197.00,197.00,300
HICL,20190307,11.15,11.15,11.11,11.11,1000
IGIHL,20190307,205.00,206.00,200.00,205.36,2800
ALAC,20190307,9.50,10.35,9.35,9.49,11000
ATIL,20190307,77.20,77.20,76.01,76.01,13000
PIL,20190307,1.79,1.79,1.79,1.79,500
PKGI,20190307,3.84,4.45,3.60,3.99,55000
PAKRI,20190307,31.00,31.00,30.90,30.99,9000
PINL,20190307,5.51,6.20,5.51,6.00,6500
SHNI,20190307,4.52,4.52,4.51,4.51,3500
UNIC,20190307,10.75,10.75,10.52,10.52,6000
AMTEX,20190307,0.90,0.92,0.86,0.91,38500
ASTM,20190307,8.50,8.50,7.50,7.50,6000
BILF,20190307,1.45,1.45,1.45,1.45,500
CWSM,20190307,2.30,2.30,2.27,2.27,19000
HIRAT,20190307,4.11,4.20,4.00,4.03,123500
DFSM,20190307,2.24,2.24,1.92,2.01,40500
DKTM,20190307,2.18,2.18,2.00,2.03,8000
DSIL,20190307,2.81,2.81,2.72,2.76,4000
FZCM,20190307,158.00,160.99,158.00,160.99,3900
GADT,20190307,251.01,254.00,243.10,248.58,10300
IDYM,20190307,474.50,474.50,474.50,474.50,100
KSTM,20190307,1.81,1.84,1.75,1.75,52000
KOSM,20190307,2.21,2.25,2.21,2.22,169500
LMSM,20190307,8.19,8.50,7.26,7.28,20500
NCML,20190307,3.80,3.80,3.65,3.75,31000
RAVT,20190307,3.00,3.00,3.00,3.00,1000
RUBY,20190307,5.51,5.51,5.23,5.23,1500
SAIF,20190307,15.66,15.66,15.25,15.44,8500
SJTM,20190307,3.10,3.10,3.01,3.08,4500
SALT,20190307,181.30,186.06,181.30,186.06,100
SSML,20190307,4.39,4.39,4.31,4.31,5500
UNITY,20190307,17.64,17.80,17.43,17.53,2617000
TATM,20190307,38.99,38.99,38.99,38.99,500
FML,20190307,106.80,106.80,103.12,105.44,42000
PRWM,20190307,27.50,27.50,27.50,27.50,2000
SMTM,20190307,3.52,3.52,3.50,3.50,10500
SERF,20190307,4.30,4.30,4.00,4.00,3500
YOUW,20190307,2.88,2.90,2.70,2.76,81500
ARUJ,20190307,19.50,19.50,17.60,17.60,22500
BHAT,20190307,770.00,775.00,770.00,775.00,450
CRTM,20190307,23.25,23.25,23.00,23.01,17000
NCL,20190307,53.90,54.20,52.65,52.77,827500
REWM,20190307,28.50,28.90,28.43,28.90,3000
GFIL,20190307,3.56,3.56,3.56,3.56,1000
GATM,20190307,57.01,57.01,56.50,56.81,45500
HAEL,20190307,8.00,8.00,7.59,7.79,26500
JUBS,20190307,3.50,3.60,3.50,3.52,22500
KOIL,20190307,3.94,3.94,3.76,3.82,30000
KTML,20190307,40.75,40.75,39.50,39.90,48500
ANL,20190307,13.05,13.19,12.76,12.81,212500
MTIL,20190307,3.65,3.65,3.37,3.43,16500
NML,20190307,143.00,143.00,139.60,139.92,75200
REDCO,20190307,3.17,3.23,3.17,3.23,7500
SFAT,20190307,4.00,4.00,4.00,4.00,1000
SURC,20190307,126.00,126.00,126.00,126.00,1900
TOWL,20190307,67.50,67.50,67.36,67.36,1000
