Symbol,Date,Open,High,Low,Close,Volume
GASF,20190311,7.52,7.52,7.52,7.52,1000
HGFA,20190311,9.35,9.35,9.35,9.35,3000
HIFA,20190311,3.95,3.95,3.80,3.80,10500
SINDM,20190311,5.90,5.90,5.90,5.90,1000
ARM,20190311,13.00,13.00,13.00,13.00,8000
BRR,20190311,7.53,7.89,7.52,7.62,4000
FECM,20190311,2.55,2.55,2.55,2.55,500
FEM,20190311,3.90,4.09,3.90,4.09,3000
ORIXM,20190311,16.20,16.79,16.15,16.20,16000
FHAM,20190311,10.26,10.26,10.25,10.25,5000
FIBLM,20190311,3.00,3.00,3.00,3.00,2000
KASBM,20190311,1.30,1.30,1.30,1.30,1000
ORM,20190311,9.20,9.20,9.20,9.20,500
FNBM,20190311,1.35,1.35,1.35,1.35,500
PMI,20190311,1.27,1.34,1.25,1.34,12000
UCAPM,20190311,0.84,0.84,0.84,0.84,500
GRYL,20190311,3.02,3.60,3.01,3.60,10500
OLPL,20190311,24.05,24.45,24.01,24.15,19500
SLCL,20190311,5.74,5.85,5.74,5.77,104500
AHL,20190311,40.65,41.00,40.50,41.00,14500
AHCL,20190311,28.37,28.68,27.60,27.60,5000
ICIBL,20190311,1.29,1.29,1.15,1.23,121000
FDIBL,20190311,2.18,2.21,2.17,2.19,83000
JSCL,20190311,12.99,13.00,12.61,12.81,7000
AMBL,20190311,8.00,9.10,8.00,9.10,6000
ESBL,20190311,17.60,18.75,17.52,18.75,230000
PSX,20190311,18.50,19.05,18.30,18.67,1959000
FCSC,20190311,1.49,1.54,1.48,1.48,76000
FCIBL,20190311,4.14,4.14,4.14,4.14,500
FNEL,20190311,5.69,5.69,5.69,5.69,8500
786,20190311,26.07,26.07,25.97,26.01,106000
PASL,20190311,0.86,0.87,0.85,0.86,130000
SIBL,20190311,9.90,9.90,9.90,9.90,500
ABL,20190311,110.00,112.00,110.00,110.10,38600
SMBL,20190311,0.74,0.78,0.74,0.77,79000
AKBL,20190311,21.20,21.48,21.01,21.09,891000
BAFL,20190311,47.00,47.00,46.65,46.78,313500
BIPL,20190311,11.49,11.55,11.49,11.51,171000
BOK,20190311,12.09,12.10,12.01,12.01,17000
BAHL,20190311,84.26,85.50,84.00,85.44,491500
BOP,20190311,14.00,14.20,14.00,14.09,16285000
FABL,20190311,23.01,23.40,23.00,23.22,31000
HBL,20190311,136.99,138.80,135.00,135.96,846900
MEBL,20190311,101.49,104.99,100.00,103.59,271000
NBP,20190311,42.49,42.55,41.80,41.96,268000
HMB,20190311,40.50,40.50,40.00,40.07,87000
MCB,20190311,198.00,198.00,196.11,197.05,339700
JSBL,20190311,5.90,5.90,5.61,5.77,36000
SILK,20190311,1.06,1.08,1.04,1.04,269500
SNBL,20190311,12.41,12.50,12.25,12.40,11500
SCBPL,20190311,24.50,24.50,24.00,24.39,3000
UBL,20190311,140.90,140.90,137.99,139.20,643700
AICL,20190311,42.50,43.00,42.20,42.87,14500
IGIL,20190311,49.00,49.00,49.00,49.00,1000
AGIC,20190311,25.80,25.80,25.80,25.80,1500
CYAN,20190311,29.48,29.48,29.00,29.00,6500
JLICL,20190311,418.02,420.00,418.00,420.00,650
CSIL,20190311,2.05,2.10,1.98,2.04,27000
EFUG,20190311,108.95,108.95,108.50,108.50,3100
HICL,20190311,11.49,11.65,11.49,11.50,30000
IGIHL,20190311,200.01,204.89,197.00,204.45,1200
ATIL,20190311,77.25,77.25,76.51,76.88,1000
JGICL,20190311,58.00,58.00,57.50,57.65,10500
PIL,20190311,1.62,1.70,1.62,1.70,9000
PKGI,20190311,4.10,4.10,4.10,4.10,10500
PAKRI,20190311,30.50,30.50,30.49,30.49,10500
PINL,20190311,5.85,5.85,5.85,5.85,500
RICL,20190311,6.10,6.35,6.10,6.35,2000
SHNI,20190311,4.37,4.90,4.37,4.64,1000
TPLI,20190311,20.25,20.25,20.25,20.25,15000
UNIC,20190311,10.99,10.99,10.26,10.88,4000
AMTEX,20190311,0.92,0.93,0.87,0.88,76000
ASTM,20190311,6.66,7.00,6.66,7.00,2000
BILF,20190311,1.43,1.44,1.42,1.42,21500
CWSM,20190311,2.27,2.32,2.25,2.29,50500
HIRAT,20190311,4.19,4.33,4.14,4.14,2500
DFSM,20190311,2.14,2.14,2.00,2.02,13000
DMTM,20190311,2.99,2.99,2.99,2.99,500
DSIL,20190311,2.78,2.88,2.70,2.71,139500
ELCM,20190311,0.00,38.26,38.26,38.26,0
GADT,20190311,238.10,244.98,238.10,244.97,4800
IDYM,20190311,475.78,476.00,475.78,475.89,100
JATM,20190311,4.01,4.10,4.01,4.10,1000
KSTM,20190311,1.38,1.74,1.38,1.74,2000
KOSM,20190311,2.34,2.34,2.25,2.25,6000
NCML,20190311,3.89,3.90,3.80,3.83,21000
PRET,20190311,220.10,220.10,220.00,220.00,5000
RUBY,20190311,5.68,5.68,5.06,5.06,2500
SAIF,20190311,15.84,15.84,14.60,15.44,5000
SALT,20190311,189.90,189.90,189.90,186.06,100
SSML,20190311,4.10,4.15,4.00,4.00,8000
SHDT,20190311,0.00,74.98,74.98,74.98,0
UNITY,20190311,17.06,17.20,16.51,16.78,2790000
FML,20190311,101.50,103.00,100.50,101.54,136500
SERF,20190311,3.85,4.00,3.85,4.00,17500
YOUW,20190311,2.76,2.82,2.72,2.73,7500
ADMM,20190311,0.00,64.58,64.58,64.58,0
CRTM,20190311,22.15,22.98,22.15,22.43,1500
NCL,20190311,52.50,52.70,51.81,51.95,621500
DLL,20190311,190.00,190.00,190.00,193.98,100
GFIL,20190311,3.69,3.75,3.69,3.74,12000
GATM,20190311,57.10,57.15,56.65,56.82,197500
HAEL,20190311,7.90,8.70,7.90,8.70,2000
JUBS,20190311,3.65,3.65,3.65,3.65,4500
KOIL,20190311,3.76,3.89,3.75,3.85,11000
KTML,20190311,39.39,41.20,39.39,40.91,111000
ANL,20190311,12.51,12.65,12.25,12.29,244000
MTIL,20190311,3.49,4.16,3.12,4.16,112500
NML,20190311,138.51,138.75,137.01,137.35,27900
SFAT,20190311,4.00,4.10,4.00,4.02,10500
STML,20190311,29.30,29.30,29.30,29.30,500
TOWL,20190311,64.00,64.00,64.00,64.00,1000
ZAHID,20190311,15.12,15.12,15.06,15.06,3000
QUET,20190311,0.00,10.89,10.89,10.89,0
AGL,20190311,4.65,4.73,4.65,4.70,304000
GATI,20190311,291.00,291.00,291.00,291.00,300
